# device profiles: one block per voltage, blank-line separated
# block header lines start with '# V ='
# x[m] n[m-3] p[m-3] phi[V] E[V/m] R[m-3s-1] mun[m2/Vs] mup[m2/Vs] nt[m-3] pt[m-3] Jn[A/m2] Jp[A/m2]
# V = 0.000000
2.033333e-08 2.984003e-11 1.340970e+12 -4.174215e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 7.016683e-45 1.818351e-23
2.100000e-08 5.402967e-11 7.406037e+11 -4.158867e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -1.675148e-44 4.004240e-23
2.166667e-08 9.782850e-11 4.090277e+11 -4.143519e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -2.656499e-44 -9.197737e-22
2.233333e-08 1.771326e-10 2.259018e+11 -4.128171e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 8.093928e-44 -4.495508e-22
2.300000e-08 3.207241e-10 1.247632e+11 -4.112823e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 8.599866e-44 5.138492e-22
2.366667e-08 5.807171e-10 6.890544e+10 -4.097475e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -3.103144e-43 -1.440873e-22
2.433333e-08 1.051472e-09 3.805576e+10 -4.082127e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -3.169121e-43 -1.385141e-22
2.500000e-08 1.903842e-09 2.101780e+10 -4.066780e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 7.524669e-43 4.426299e-23
2.566667e-08 3.447180e-09 1.160792e+10 -4.051432e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -4.633149e-43 1.825479e-23
2.633333e-08 6.241615e-09 6.410932e+09 -4.036084e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -1.295129e-42 -2.561557e-23
2.700000e-08 1.130134e-08 3.540691e+09 -4.020736e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 5.531507e-43 2.054011e-24
2.766667e-08 2.046271e-08 1.955487e+09 -4.005388e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 4.600808e-42 1.557403e-24
2.833333e-08 3.705069e-08 1.079995e+09 -3.990040e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 4.934185e-42 2.277055e-24
2.900000e-08 6.708561e-08 5.964702e+08 -3.974692e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 2.597263e-42 2.114865e-25
2.966667e-08 1.214682e-07 3.294243e+08 -3.959344e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -2.075201e-41 -4.092303e-25
3.033333e-08 2.199356e-07 1.819377e+08 -3.943997e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -5.499517e-41 -4.624480e-25
3.100000e-08 3.982251e-07 1.004823e+08 -3.928649e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 4.515194e-41 3.601832e-26
3.166667e-08 7.210439e-07 5.549533e+07 -3.913301e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -2.906094e-41 -6.583981e-27
3.233333e-08 1.305554e-06 3.064950e+07 -3.897953e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -7.363100e-41 -1.550344e-26
3.300000e-08 2.363894e-06 1.692740e+07 -3.882605e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 4.932179e-40 2.243636e-26
3.366667e-08 4.280170e-06 9.348827e+06 -3.867257e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -1.667238e-40 1.964361e-26
3.433333e-08 7.749864e-06 5.163261e+06 -3.851909e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -4.376118e-40 1.940737e-27
3.500000e-08 1.403225e-05 2.851615e+06 -3.836561e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 3.341856e-41 -2.158507e-27
3.566667e-08 2.540740e-05 1.574918e+06 -3.821213e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 4.309702e-40 -3.381449e-27
3.633333e-08 4.600376e-05 8.698108e+05 -3.805866e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -6.194475e-39 -4.242840e-28
3.700000e-08 8.329644e-05 4.803875e+05 -3.790518e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -4.872469e-39 1.689917e-28
3.766667e-08 1.508202e-04 2.653130e+05 -3.775170e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 5.877299e-39 9.675068e-29
3.833333e-08 2.730817e-04 1.465296e+05 -3.759822e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 5.772282e-38 -1.411539e-29
3.900000e-08 4.944538e-04 8.092681e+04 -3.744474e+00 -2.302182e+07 0.000000e+00 2.943425e-09 2.943425e-08 0.000000e+00 0.000000e+00 -2.079029e-38 3.753897e-29
3.966667e-08 8.952799e-04 4.469504e+04 -3.729126e+00 -2.384825e+07 0.000000e+00 3.000503e-09 3.000503e-08 0.000000e+00 0.000000e+00 2.915530e-36 2.535165e-28
4.025000e-08 1.716703e+02 2.799493e+09 -3.714664e+00 -2.574630e+07 4.197489e-22 5.000000e-09 5.000000e-09 6.974655e+02 1.137384e+10 -1.051521e-31 -7.128595e-25
4.075000e-08 2.886018e+02 1.665235e+09 -3.701234e+00 -2.685880e+07 3.302154e-22 5.000000e-09 5.000000e-09 1.172537e+03 6.765550e+09 6.664866e-32 -3.105190e-25
4.125000e-08 4.851801e+02 9.905388e+08 -3.687805e+00 -2.685880e+07 1.342580e-21 5.000000e-09 5.000000e-09 1.971200e+03 4.024382e+09 -3.317588e-32 1.492890e-25
4.175000e-08 8.156559e+02 5.892065e+08 -3.674376e+00 -2.685880e+07 1.234843e-21 5.000000e-09 5.000000e-09 3.313864e+03 2.393840e+09 -3.346238e-31 -2.421064e-25
4.225000e-08 1.371232e+03 3.504803e+08 -3.660946e+00 -2.685880e+07 4.075362e-23 5.000000e-09 5.000000e-09 5.571069e+03 1.423939e+09 6.846454e-31 9.527225e-26
4.275000e-08 2.305233e+03 2.084777e+08 -3.647517e+00 -2.685880e+07 -7.304974e-22 5.000000e-09 5.000000e-09 9.365749e+03 8.470076e+08 -1.706960e-31 3.142696e-26
4.325000e-08 3.875421e+03 1.240097e+08 -3.634087e+00 -2.685880e+07 7.296110e-22 5.000000e-09 5.000000e-09 1.574514e+04 5.038292e+08 -8.628616e-31 -5.062757e-26
4.375000e-08 6.515126e+03 7.376524e+07 -3.620658e+00 -2.685880e+07 7.866314e-22 5.000000e-09 5.000000e-09 2.646979e+04 2.996949e+08 2.760660e-30 2.004155e-26
4.425000e-08 1.095284e+04 4.387810e+07 -3.607229e+00 -2.685880e+07 -1.669130e-21 5.000000e-09 5.000000e-09 4.449942e+04 1.782688e+08 -2.031052e-30 6.768698e-27
4.475000e-08 1.841326e+04 2.610020e+07 -3.593799e+00 -2.685880e+07 2.671702e-22 5.000000e-09 5.000000e-09 7.480977e+04 1.060404e+08 -4.104738e-30 -1.070527e-26
4.525000e-08 3.095527e+04 1.552530e+07 -3.580370e+00 -2.685880e+07 -1.186781e-21 5.000000e-09 5.000000e-09 1.257657e+05 6.307649e+07 -1.038032e-30 -3.544920e-30
4.575000e-08 5.204016e+04 9.234979e+06 -3.566940e+00 -2.685880e+07 1.772974e-21 5.000000e-09 5.000000e-09 2.114298e+05 3.752006e+07 -5.437773e-32 -2.962409e-28
4.625000e-08 8.748681e+04 5.493283e+06 -3.553511e+00 -2.685880e+07 -1.724756e-22 5.000000e-09 5.000000e-09 3.554432e+05 2.231822e+07 4.023085e-30 2.550629e-28
4.675000e-08 1.470776e+05 3.267593e+06 -3.540082e+00 -2.685880e+07 9.237428e-22 5.000000e-09 5.000000e-09 5.975499e+05 1.327565e+07 -4.608704e-30 -1.034084e-29
4.725000e-08 2.472581e+05 1.943677e+06 -3.526652e+00 -2.685880e+07 7.329033e-22 5.000000e-09 5.000000e-09 1.004565e+06 7.896810e+06 -2.985743e-31 -6.308511e-29
4.775000e-08 4.156755e+05 1.156166e+06 -3.513223e+00 -2.685880e+07 1.638578e-21 5.000000e-09 5.000000e-09 1.688815e+06 4.697294e+06 1.875096e-29 5.847093e-29
4.825000e-08 6.988088e+05 6.877271e+05 -3.499793e+00 -2.685880e+07 -7.313008e-22 5.000000e-09 5.000000e-09 2.839135e+06 2.794112e+06 2.952035e-28 1.873128e-28
4.875000e-08 1.174796e+06 4.090837e+05 -3.486364e+00 -2.685880e+07 6.143982e-19 5.000000e-09 5.000000e-09 4.772984e+06 1.662034e+06 -2.138459e-28 6.012990e-29
4.925000e-08 1.974996e+06 2.433370e+05 -3.472935e+00 -2.685880e+07 -2.852772e-22 5.000000e-09 5.000000e-09 8.024056e+06 9.886348e+05 -4.403199e-28 -9.998647e-29
4.975000e-08 3.320246e+06 1.447452e+05 -3.459505e+00 -2.685880e+07 -1.598735e-21 5.000000e-09 5.000000e-09 1.348956e+07 5.880739e+05 1.409312e-27 3.880891e-29
5.025000e-08 5.581799e+06 8.609944e+04 -3.446076e+00 -2.685880e+07 6.182534e-19 5.000000e-09 5.000000e-09 2.267785e+07 3.498066e+05 -1.047160e-27 1.335657e-29
